,Team,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed
,Boston Celtics,Jayson Tatum,25,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",,,"$97,800,180"
,Boston Celtics,Jaylen Brown,26,"$28,741,071","$30,723,215",,,,,"$59,464,286"
,Boston Celtics,Al Horford,37,"$26,500,000","$10,000,000","$9,500,000",,,,"$46,000,000"
,Boston Celtics,Malcolm Brogdon,30,"$22,600,000","$22,500,000","$22,500,000",,,,"$67,600,000"
,Boston Celtics,Marcus Smart,29,"$17,207,142",,,,,,"$17,207,142"
,Boston Celtics,Derrick White,29,"$16,892,857","$18,107,143","$19,321,429",,,,"$54,321,429"
,Boston Celtics,Robert Williams,25,"$10,937,502","$11,812,501","$12,687,500","$13,562,499",,,"$49,000,002"
,Boston Celtics,Danilo Gallinari,34,"$6,479,000",,,,,,"$6,479,000"
,Boston Celtics,Grant Williams,24,"$4,306,281",,,,,,"$4,306,281"
,Boston Celtics,Mike Muscala,32,"$3,500,000",,,,,,"$3,500,000"
,Boston Celtics,Payton Pritchard,25,"$2,239,200","$4,037,277",,,,,"$6,276,477"
,Boston Celtics,Luke Kornet,27,"$2,133,278","$2,413,304",,,,,"$2,133,278"
,Boston Celtics,Blake Griffin,34,"$1,836,090",,,,,,"$1,836,090"
,Boston Celtics,Sam Hauser,25,"$1,637,966","$1,927,896","$2,092,344",,,,"$5,658,206"
,Boston Celtics,Mfiondu Kabengele,,,,,,,,25
,Boston Celtics,JD Davison,,,,,,,,20
,Boston Celtics,Justin Champagnie,,,,,,,,22
,Boston Celtics,Demetrius Jackson,28,"$92,857","$92,857",,,,,"$185,714"
,Boston Celtics,Team Totals,"$175,455,024","$134,214,253","$100,949,613","$50,659,119",,,,"$421,768,085"
,Atlanta Hawks,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Atlanta Hawks,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Atlanta Hawks,Trae Young,24,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,"$215,159,700"
,Atlanta Hawks,John Collins,25,"$23,500,000","$25,340,000","$26,580,000","$26,580,000",,,"$102,000,000"
,Atlanta Hawks,Clint Capela,29,"$18,706,896","$20,616,000","$22,265,280",,,,"$61,588,176"
,Atlanta Hawks,Bogdan Bogdanovic,30,"$18,000,000","$18,000,000",,,,,"$36,000,000"
,Atlanta Hawks,Dejounte Murray,26,"$16,571,120","$17,714,000",,,,,"$34,285,120"
,Atlanta Hawks,De'Andre Hunter,25,"$9,835,881","$20,089,286","$21,696,429","$23,303,571","$24,910,714",,"$99,835,881"
,Atlanta Hawks,Onyeka Okongwu,22,"$6,395,160","$8,109,063",,,,,"$14,504,223"
,Atlanta Hawks,AJ Griffin,19,"$3,536,160","$3,712,920","$3,889,920","$5,967,137",,,"$7,249,080"
,Atlanta Hawks,Saddiq Bey,24,"$2,959,080","$4,556,983",,,,,"$7,516,063"
,Atlanta Hawks,Jalen Johnson,21,"$2,792,640","$2,925,360","$4,510,905",,,,"$5,718,000"
,Atlanta Hawks,Bruno Fernando,24,"$2,717,391","$2,581,522","$2,717,391","$2,853,260",,,"$2,717,391"
,Atlanta Hawks,Garrison Mathews,26,"$2,000,000","$2,000,000","$2,230,253",,,,"$2,000,000"
,Atlanta Hawks,Aaron Holiday,26,"$1,836,090",,,,,,"$1,836,090"
,Atlanta Hawks,Vit Krejci,23,"$1,563,518","$1,836,096","$1,988,598",,,,"$1,563,518"
,Atlanta Hawks,Tyrese Martin,24,"$1,017,781","$1,719,864",,,,,"$1,017,781"
,Atlanta Hawks,Trent Forrest,,,,,,,,25
,Atlanta Hawks,Team Totals,"$148,528,217","$169,265,314","$128,910,716","$104,703,628","$73,878,094",,,"$592,991,023"
,Brooklyn Nets,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Brooklyn Nets,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Brooklyn Nets,Ben Simmons,26,"$35,448,672","$37,893,408","$40,338,144",,,,"$113,680,224"
,Brooklyn Nets,Mikal Bridges,26,"$20,100,000","$21,700,000","$23,300,000","$24,900,000",,,"$90,000,000"
,Brooklyn Nets,Spencer Dinwiddie,30,"$19,500,000","$20,357,143",,,,,"$38,357,143"
,Brooklyn Nets,Joe Harris,31,"$18,642,857","$19,928,571",,,,,"$38,571,428"
,Brooklyn Nets,Dorian Finney-Smith,30,"$12,939,848","$13,932,008","$14,924,167","$15,378,480",,,"$41,796,023"
,Brooklyn Nets,Royce O'Neale,30,"$9,200,000","$9,500,000",,,,,"$11,700,000"
,Brooklyn Nets,Nic Claxton,24,"$8,500,000","$8,750,000",,,,,"$17,250,000"
,Brooklyn Nets,Seth Curry,32,"$8,496,653",,,,,,"$8,496,653"
,Brooklyn Nets,Patty Mills,34,"$6,479,000","$6,802,950",,,,,"$13,281,950"
,Brooklyn Nets,Cameron Johnson,27,"$5,887,899",,,,,,"$5,887,899"
,Brooklyn Nets,Cam Thomas,21,"$2,138,160","$2,240,160","$4,041,249",,,,"$2,138,160"
,Brooklyn Nets,Day'Ron Sharpe,21,"$2,109,480","$2,210,040","$3,989,122",,,,"$2,109,480"
,Brooklyn Nets,Edmond Sumner,27,"$1,968,175","$2,239,943",,,,,"$1,968,175"
,Brooklyn Nets,Yuta Watanabe,28,"$1,836,090",,,,,,"$1,836,090"
,Brooklyn Nets,Dru Smith,,,,,,,,25
,Brooklyn Nets,RaiQuan Gray,23,,,,,,,"$2,035,562"
,Brooklyn Nets,David Duke Jr.,,,,,,,,23
,Brooklyn Nets,Jevon Carter,27,"$3,925,000",,,,,,"$3,925,000"
,Brooklyn Nets,Team Totals,"$157,171,834","$145,554,223","$86,592,682","$40,278,480",,,,"$393,033,787"
,Chicago Bulls,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Chicago Bulls,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Chicago Bulls,Zach LaVine,28,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,"$166,192,320"
,Chicago Bulls,DeMar DeRozan,33,"$27,300,000","$28,600,000",,,,,"$55,900,000"
,Chicago Bulls,Lonzo Ball,25,"$19,534,884","$20,465,117","$21,395,348",,,,"$40,000,001"
,Chicago Bulls,Alex Caruso,29,"$9,030,000","$9,460,000","$9,890,000",,,,"$28,380,000"
,Chicago Bulls,Patrick Williams,21,"$7,775,400","$9,835,881",,,,,"$17,611,281"
,Chicago Bulls,Coby White,23,"$7,413,955",,,,,,"$7,413,955"
,Chicago Bulls,Andre Drummond,29,"$3,200,000","$3,360,000",,,,,"$6,560,000"
,Chicago Bulls,Derrick Jones Jr.,26,"$3,200,000","$3,360,000",,,,,"$3,200,000"
,Chicago Bulls,Dalen Terry,20,"$3,191,400","$3,350,760","$3,510,480","$5,399,118",,,"$6,542,160"
,Chicago Bulls,Javonte Green,29,"$1,815,677",,,,,,"$1,815,677"
,Chicago Bulls,Ayo Dosunmu,23,"$1,563,518",,,,,,"$1,563,518"
,Chicago Bulls,Marko Simonovic,23,"$1,563,518","$1,836,096",,,,,"$1,563,518"
,Chicago Bulls,Patrick Beverley,34,"$506,508",,,,,,"$506,508"
,Chicago Bulls,Carlik Jones,25,"$357,717","$1,927,896","$2,092,344",,,,"$357,717"
,Chicago Bulls,Justin Lewis,,,,,,,,21
,Chicago Bulls,Terry Taylor,,,,,,,,23
,Chicago Bulls,Tony Bradley,25,"$2,036,318",,,,,,"$2,036,318"
,Chicago Bulls,Goran Dragic,37,"$1,836,090",,,,,,"$1,836,090"
,Chicago Bulls,Team Totals,"$127,421,485","$122,259,970","$79,920,112","$51,398,778","$48,967,380",,,"$341,479,063"
,Charlotte Hornets,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Charlotte Hornets,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Charlotte Hornets,Gordon Hayward,33,"$30,075,000","$31,500,000",,,,,"$61,575,000"
,Charlotte Hornets,Terry Rozier,29,"$21,486,316","$23,205,221","$24,924,126","$26,643,031",,,"$96,258,694"
,Charlotte Hornets,Kelly Oubre Jr.,27,"$12,600,000",,,,,,"$12,600,000"
,Charlotte Hornets,LaMelo Ball,21,"$8,623,920","$10,900,635",,,,,"$19,524,555"
,Charlotte Hornets,Cody Martin,27,"$7,000,000","$7,560,000","$8,120,000","$8,680,000",,,"$22,680,000"
,Charlotte Hornets,P.J. Washington,24,"$5,808,435",,,,,,"$5,808,435"
,Charlotte Hornets,James Bouknight,22,"$4,362,240","$4,570,080","$6,064,496",,,,"$8,932,320"
,Charlotte Hornets,Mark Williams,21,"$3,722,040","$3,908,160","$4,094,280","$6,276,531",,,"$7,630,200"
,Charlotte Hornets,Kai Jones,22,"$2,909,040","$3,047,880","$4,693,735",,,,"$5,956,920"
,Charlotte Hornets,Svi Mykhailiuk,26,"$1,836,090",,,,,,"$1,836,090"
,Charlotte Hornets,Dennis Smith Jr.,25,"$1,836,090",,,,,,"$1,836,090"
,Charlotte Hornets,Nick Richards,25,"$1,782,621",,,,,,"$1,782,621"
,Charlotte Hornets,JT Thor,20,"$1,563,518","$1,836,096","$1,988,598",,,,"$1,563,518"
,Charlotte Hornets,Bryce McGowens,20,"$1,075,000","$1,719,864","$2,019,699","$2,187,451",,,"$2,794,864"
,Charlotte Hornets,Kobi Simmons,,,,,,,,25
,Charlotte Hornets,Théo Maledon,,,,,,,,22
,Charlotte Hornets,Xavier Sneed,25,,,,,,,"$1,637,966"
,Charlotte Hornets,Reggie Jackson,33,"$11,215,260",,,,,,"$11,215,260"
,Charlotte Hornets,Nicolas Batum,34,"$8,856,969",,,,,,"$8,856,969"
,Charlotte Hornets,Team Totals,"$124,752,539","$88,247,936","$51,904,934","$43,787,013",,,,"$272,489,502"
,Cleveland Cavaliers,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Cleveland Cavaliers,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Cleveland Cavaliers,Donovan Mitchell,26,"$30,913,750","$33,162,030","$35,410,310","$37,096,620",,,"$99,486,090"
,Cleveland Cavaliers,Jarrett Allen,25,"$20,000,000","$20,000,000","$20,000,000","$20,000,000",,,"$80,000,000"
,Cleveland Cavaliers,Caris LeVert,28,"$18,796,296",,,,,,"$18,796,296"
,Cleveland Cavaliers,Darius Garland,23,"$8,920,795","$33,500,000","$36,180,000","$38,860,000","$41,540,000",,"$44,220,000"
,Cleveland Cavaliers,Evan Mobley,22,"$8,478,720","$8,882,640","$11,227,657",,,,"$17,361,360"
,Cleveland Cavaliers,Cedi Osman,28,"$7,426,088","$6,718,842",,,,,"$7,426,088"
,Cleveland Cavaliers,Isaac Okoro,22,"$7,040,880","$8,920,795",,,,,"$15,961,675"
,Cleveland Cavaliers,Ricky Rubio,32,"$5,853,659","$6,146,342","$6,439,025",,,,"$16,250,001"
,Cleveland Cavaliers,Dylan Windler,26,"$4,037,278",,,,,,"$4,037,278"
,Cleveland Cavaliers,Danny Green,36,"$2,000,000",,,,,,"$2,000,000"
,Cleveland Cavaliers,Dean Wade,26,"$1,930,681","$5,709,877","$6,166,667","$6,623,456",,,"$13,807,225"
,Cleveland Cavaliers,Raul Neto,31,"$1,836,090",,,,,,"$1,836,090"
,Cleveland Cavaliers,Robin Lopez,35,"$1,836,090",,,,,,"$1,836,090"
,Cleveland Cavaliers,Lamar Stevens,25,"$1,782,621","$1,930,681",,,,,"$3,713,302"
,Cleveland Cavaliers,Sam Merrill,27,"$850,000","$1,997,238","$2,164,993",,,,"$955,522"
,Cleveland Cavaliers,Isaiah Mobley,,,,,,,,23
,Cleveland Cavaliers,Mamadi Diakite,,,,,,,,26
,Cleveland Cavaliers,Kevin Love,34,"$28,942,830",,,,,,"$28,942,830"
,Cleveland Cavaliers,Team Totals,"$150,645,778","$126,968,445","$117,588,652","$102,580,076","$41,540,000","$44,220,000",,"$515,630,642"
,Dallas Mavericks,Salary,Salary,Salary,Salary,Salary,,,,Salary
,Dallas Mavericks,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Dallas Mavericks,Kyrie Irving,31,"$38,917,057",,,,,,"$38,917,057"
,Dallas Mavericks,Luka Doncic,24,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,"$166,192,320"
,Dallas Mavericks,Tim Hardaway Jr.,31,"$19,602,273","$17,897,728","$16,193,183",,,,"$53,693,184"
,Dallas Mavericks,Davis Bertans,30,"$16,000,000","$17,000,000","$16,000,000",,,,"$44,000,000"
,Dallas Mavericks,Christian Wood,27,"$14,317,459",,,,,,"$14,317,459"
,Dallas Mavericks,Dwight Powell,31,"$11,080,125",,,,,,"$11,080,125"
,Dallas Mavericks,Reggie Bullock,32,"$10,012,800","$10,489,600",,,,,"$15,464,000"
,Dallas Mavericks,Maxi Kleber,31,"$9,000,000","$11,000,000","$11,000,000","$11,000,000",,,"$42,000,000"
,Dallas Mavericks,JaVale McGee,35,"$5,461,219","$5,734,280","$6,007,341",,,,"$17,202,840"
,Dallas Mavericks,Josh Green,22,"$3,098,400","$4,765,339",,,,,"$7,863,739"
,Dallas Mavericks,Frank Ntilikina,24,"$2,036,318",,,,,,"$2,036,318"
,Dallas Mavericks,Markieff Morris,33,"$1,836,090",,,,,,"$1,836,090"
,Dallas Mavericks,Theo Pinson,27,"$1,836,090",,,,,,"$1,836,090"
,Dallas Mavericks,Jaden Hardy,20,"$1,017,781","$1,719,864","$2,019,699",,,,"$3,137,645"
,Dallas Mavericks,Justin Holiday,34,"$569,821",,,,,,"$569,821"
,Dallas Mavericks,McKinley Wright IV,,,,,,,,24
,Dallas Mavericks,A.J. Lawson,,,,,,,,22
,Dallas Mavericks,Kemba Walker,33,"$684,712",,,,,,"$684,712"
,Dallas Mavericks,Team Totals,"$172,566,645","$108,671,031","$94,252,163","$56,999,660","$48,967,380",,,"$420,831,400"
,Denver Nuggets,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Denver Nuggets,Nikola Jokic,28,"$33,047,803","$46,900,000","$50,652,000","$54,404,000","$58,156,000","$61,908,000",,
,Denver Nuggets,Jamal Murray,26,"$31,650,600","$33,833,400","$36,016,200",,,,"$101,500,200"
,Denver Nuggets,Michael Porter Jr.,25,"$30,913,750","$33,386,850","$35,859,950","$38,333,050","$40,806,150",,"$150,493,600"
,Denver Nuggets,Aaron Gordon,27,"$19,690,909","$21,266,182","$22,841,455","$22,841,455",,,"$63,798,546"
,Denver Nuggets,Kentavious Caldwell-Pope,30,"$14,004,703","$14,704,938","$15,440,185",,,,"$28,709,641"
,Denver Nuggets,Bruce Brown,26,"$6,479,000","$6,802,950",,,,,"$6,479,000"
,Denver Nuggets,Ish Smith,34,"$4,725,000",,,,,,"$4,725,000"
,Denver Nuggets,Jeff Green,36,"$4,500,000",,,,,,"$4,500,000"
,Denver Nuggets,Christian Braun,22,"$2,808,600","$2,949,120","$3,089,640","$4,921,797",,,"$5,757,720"
,Denver Nuggets,Zeke Nnaji,22,"$2,617,800","$4,306,281",,,,,"$6,924,081"
,Denver Nuggets,Vlatko cancar,26,"$2,234,359","$2,234,359","$2,346,606",,,,"$4,468,718"
,Denver Nuggets,Peyton Watson,20,"$2,193,960","$2,303,520","$2,413,560","$4,356,476",,,"$4,497,480"
,Denver Nuggets,Thomas Bryant,25,"$1,836,090",,,,,,"$1,836,090"
,Denver Nuggets,DeAndre Jordan,34,"$1,836,090",,,,,,"$1,836,090"
,Denver Nuggets,Reggie Jackson,33,"$580,373",,,,,,"$580,373"
,Denver Nuggets,Collin Gillespie,,,,,,,,24
,Denver Nuggets,Jack White,,,,,,,,25
,Denver Nuggets,Team Totals,"$159,119,037","$168,687,600","$168,659,596","$124,856,778","$98,962,150","$61,908,000",,"$629,266,342"
,Detroit Pistons,Player,Age,2022-23,2023-24,2024-25,2025-26,2026-27,,2027-28
,Detroit Pistons,Bojan Bogdanovic,34,"$19,550,000","$20,000,000","$19,032,850",,,,"$39,550,000"
,Detroit Pistons,Marvin Bagley III,24,"$12,500,000","$12,500,000","$12,500,000",,,,"$37,500,000"
,Detroit Pistons,Cade Cunningham,21,"$10,552,800","$11,055,360","$13,940,809",,,,"$21,608,160"
,Detroit Pistons,Alec Burks,31,"$10,012,800","$10,489,600",,,,,"$20,502,400"
,Detroit Pistons,James Wiseman,22,"$9,603,360","$12,119,440",,,,,"$9,603,360"
,Detroit Pistons,Jaden Ivey,21,"$7,252,200","$7,614,480","$7,977,240","$10,107,163",,,"$14,866,680"
,Detroit Pistons,Killian Hayes,21,"$5,837,760","$7,413,955",,,,,"$13,251,715"
,Detroit Pistons,Hamidou Diallo,24,"$5,200,000",,,,,,"$5,200,000"
,Detroit Pistons,Cory Joseph,31,"$5,155,500",,,,,,"$5,155,500"
,Detroit Pistons,Jalen Duren,19,"$4,124,280","$4,330,680","$4,536,840","$6,483,144",,,"$8,454,960"
,Detroit Pistons,Isaiah Stewart,22,"$3,433,320","$5,266,713",,,,,"$8,700,033"
